"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Anthony63002260 @NYDailyNews There is no ""reopening"" of America cuz America was never in a real #StayAtHome… https://t.co/79FCdF0M9w",FALSE,0,"Anthony63002260",2020-05-02 18:38:39,TRUE,"1256626516521353216","1256654349234843650","1238262509049655296","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2cents4change",0,FALSE,FALSE,NA,NA
"RT @parthaskar: On behalf of the #NHS 

Please PLEASE avoid this. 

We have - as a system- just about managed to cope- by sacrificing much…",FALSE,0,NA,2020-05-02 18:38:35,FALSE,NA,"1256654334529622017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RachelWittson",5,TRUE,FALSE,NA,NA
"RT @martiandiaries: Need fresh entertainment? 
Quarantine, self-isolation, travel bans - hooray for audiodrama! <U+0001F64C> Enjoy more than 60 FREE i…",FALSE,0,NA,2020-05-02 18:38:33,FALSE,NA,"1256654324488380416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mariafloreto",217,TRUE,FALSE,NA,NA
"RT @MaryknollFrsBrs: Join us tomorrow for a live stream of Sunday Mass from Maryknoll with Fr. Joseph Veneroso, M.M.  at 10am ET. 

Please…",FALSE,0,NA,2020-05-02 18:38:11,FALSE,NA,"1256654235011215361",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","silvestromedia",1,TRUE,FALSE,NA,NA
"@TechChef4u @cazij Hi Lisa, I’m #writing a #truestory of my own experience with #bullying to share that U can survi… https://t.co/b0G774lFj8",FALSE,0,"TechChef4u",2020-05-02 18:38:10,TRUE,"1256621758645493769","1256654231123234823","18009961","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PorcelliSuzanne",0,FALSE,FALSE,NA,NA
"RT @sergulumm: ~~~
Son 4 bin <U+0001F389><U+0001F38A><U+0001F973><U+0001F388><U+0001F38A><U+0001F389><U+0001F973>
.
.
#Sergülüm
#SergülüMusic
#HerSözümSen <U+0001F388><U+0001F973><U+0001F389><U+0001F9FF>
...
#evdeyim #evdekal #benimle 
#20milyon #kutla <U+0001F388><U+0001F973>
#sta…",FALSE,0,NA,2020-05-02 18:37:59,FALSE,NA,"1256654184948158469",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","znur62923744",3,TRUE,FALSE,NA,NA
"RT @bbcradioulster: Bristol artist @KatyJPearsonnn reveals the secrets of her First and Last Loves with @StephenMainline <U+0001F449> https://t.co/lJN…",FALSE,0,NA,2020-05-02 18:37:59,FALSE,NA,"1256654182830014464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StephenMainline",1,TRUE,FALSE,NA,NA
"To hear that adults in Spain have been allowed outside to exercise for the first time in 7 weeks makes our lockdown… https://t.co/HCMsvmGqOV",FALSE,0,NA,2020-05-02 18:37:48,TRUE,NA,"1256654137678331906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ronanbarry",0,FALSE,FALSE,NA,NA
"RT @GardaTraffic: An Garda Síochana continues to acknowledge the huge support and compliance for current Public Health Guidelines by citize…",FALSE,0,NA,2020-05-02 18:37:45,FALSE,NA,"1256654124654956544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stresskills",9,TRUE,FALSE,NA,NA
"@TheTweetOfGod Maybe we need an infestation to get people to #StayAtHome",FALSE,0,"TheTweetOfGod",2020-05-02 18:37:41,FALSE,"1256648518464233473","1256654108540506112","204832963","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","noe_perez_",0,FALSE,FALSE,NA,NA
"RT @ODNIgov: Interested in learning more about the raid on Osama bin Laden’s compound in Abbottabad, Pakistan while you #StayAtHome? Read s…",FALSE,0,NA,2020-05-02 18:37:38,FALSE,NA,"1256654093629689858",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Spacefo88294868",33,TRUE,FALSE,NA,NA
"RT @HIDIVEofficial: We hope you enjoy this new message from our staff and friends! Whether or not you're staying home, we just ultimately h…",FALSE,0,NA,2020-05-02 18:37:32,FALSE,NA,"1256654068711374851",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jvx10vxgg",72,TRUE,FALSE,NA,NA
"RT @RavMABAY: Let's be clear: Storming a state capitol with loaded AR-15s to protest #COVID19 #StayAtHome orders is NOT a protest.

It is t…",FALSE,0,NA,2020-05-02 18:37:31,FALSE,NA,"1256654064462462978",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lucifersfursona",2217,TRUE,FALSE,NA,NA
"RT @RepLipinski: As an avid biker, I’m glad to begin #NationalBikeMonth today. #Biking is great for our environment, health, &amp; relationship…",FALSE,0,NA,2020-05-02 18:37:29,FALSE,NA,"1256654059295182858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Angieva68965829",2,TRUE,FALSE,NA,NA
"I made a GIANT GUN in Boneworks VR...How bad can it go?

Full Video: https://t.co/qNycjI350u

#vr #virtualreality… https://t.co/79EoV8AKP2",FALSE,0,NA,2020-05-02 18:37:26,TRUE,NA,"1256654045730746369",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheSimplyChris",0,FALSE,FALSE,NA,NA
"Meze type dinner tonight chez Warke #IsolationLife #StayAtHome https://t.co/17qDXndvqj",FALSE,0,NA,2020-05-02 18:37:12,FALSE,NA,"1256653988088418305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WarkesDeli",0,FALSE,FALSE,NA,NA
